
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
96,2020-10-23,,독도,경상북도 울릉군울릉읍 독도이사부길63  ,울릉도기상대(115),37.2395,131.8698,99.08,,,,
96,2009-10-27,2020-10-23,독도,경상북도 울릉군울릉읍 독도이사부길63  ,울릉도기상대(115),37.2395,131.8698,96.15,,,,
311,2015-07-13,,가야산,경상남도 합천군가야면 치인1길13-45 해인사관광호텔 ,울산기상대(152),35.7892,128.0867,605.47,,,,
311,2001-09-25,2015-07-13,가야산,경상남도 합천군가야면 치인1길13-45 해인사관광호텔 ,거창기상대(284),35.7892,128.0867,595.71,,,,
312,2020-12-04,,주왕산,경상북도 청송군부동면 공원길169-7(상의리 406) 주왕산국립공원사무소,대구(구 143),36.3931,129.1413,262.19,,,,
312,2011-12-01,2020-12-04,주왕산,경상북도 청송군부동면 공원길169-7(상의리 406) 주왕산국립공원사무소,안동기상대(136),36.3931,129.1413,262.19,,,,
312,2001-10-11,2011-12-01,주왕산,경상북도 청송군부동면 공원길169-7(상의리 406) 주왕산국립공원사무소,안동기상대(136),36.3908,129.1418,260.96,,,,
313,2020-10-23,,양지암,경상남도 거제시능포동 산1번지 육군 132-1레이더기지,부산지방기상청(159),34.8933,128.7514,52.48,,,,
313,2015-07-13,2020-10-23,양지암,경상남도 거제시능포동 산1번지 육군 132-1레이더기지,부산지방기상청(159),34.8934,128.7514,54.65,,,,
313,2001-10-11,2015-07-13,양지암,경상남도 거제시능포동 산1번지 육군 132-1레이더기지,통영기상대(162),34.8934,128.7514,54.65,,,,
319,2014-11-23,,천부,경상북도 울릉군 북면 천부길 95-3천부초등학교34759 천부초등학교 ,울릉도기상대(115),37.5373,130.8708,58.05,,,,
319,2001-10-25,2014-11-23,천부,경상북도 울릉군 북면 천부길 95-3천부초등학교34759 천부초등학교 ,울릉도기상대(115),37.5408,130.8746,63,,,,
530,2014-12-15,,태하,경상북도 울릉군서면 태하리212번지  ,울릉도기상대(115),37.5151,130.8118,178,,,,
530,2013-10-21,2014-12-15,태하,경상북도 울릉군서면 태하리212번지  ,울릉도기상대(115),37.5014,130.8078,110,,,,
530,1990-05-30,2013-10-21,태하,경상북도 울릉군서면 태하리212번지  ,울릉도기상대(115),37.5184,130.7977,172.79,,,,
673,2020-10-23,,진영,경상남도 김해시진영읍 하계로138번길30 진영단감연구소 ,부산지방기상청(159),35.2822,128.7175,20.64,,,,
673,2009-11-05,2020-10-23,진영,경상남도 김해시진영읍 하계로138번길30 진영단감연구소 ,부산지방기상청(159),35.2822,128.7175,20.56,,,,
686,2018-01-08,2018-02-01,대곡,경상남도 진주시 대곡면소실길12.116 경상대학교 대곡농장,창원기상대(155),35.2439,128.1547,22,,,,
686,2015-07-13,2018-01-08,대곡,경상남도 진주시 대곡면소실길12.116 경상대학교 대곡농장,창원기상대(155),35.2439,128.1547,22,,,,
686,2013-10-01,2015-07-13,대곡,경상남도 진주시 대곡면소실길12.116 경상대학교 대곡농장,진주기상대(192),35.2439,128.1547,22,,,,
800,2018-03-23,,평해,경상북도 울진군평해읍 평해리510  ,안동기상대(136),36.7257,129.4437,6.43,,,,
800,2015-07-13,2018-03-23,후포,경상북도 울진군평해읍 평해리510  ,안동기상대(136),36.6667,129.431,11,,,,
