BASE_DATE,ADM_DR_CD,ADM_DR_NM
20200630,3701111,구룡포읍
20200630,3701112,연일읍
20200630,3701113,오천읍
20200630,3701131,대송면
20200630,3701132,동해면
20200630,3701133,장기면
20200630,3701135,호미곶면
20200630,3701155,송도동
20200630,3701156,청림동
20200630,3701157,제철동
20200630,3701158,효곡동
20200630,3701159,대이동
20200630,3701160,상대동
20200630,3701161,해도동
20200630,3701211,흥해읍
20200630,3701231,신광면
20200630,3701232,청하면
20200630,3701233,송라면
20200630,3701234,기계면
20200630,3701235,죽장면
20200630,3701236,기북면
20200630,3701258,양학동
20200630,3701261,용흥동
20200630,3701263,우창동
20200630,3701264,두호동
20200630,3701265,장량동
20200630,3701266,환여동
20200630,3701267,중앙동
20200630,3701268,죽도동
20200630,3702011,감포읍
20200630,3702012,안강읍
20200630,3702013,건천읍
20200630,3702014,외동읍
20200630,3702031,양북면
20200630,3702032,양남면
20200630,3702033,내남면
20200630,3702034,산내면
20200630,3702035,서면
20200630,3702036,현곡면
20200630,3702037,강동면
20200630,3702038,천북면
20200630,3702051,중부동
20200630,3702055,성건동
20200630,3702058,월성동
20200630,3702059,선도동
20200630,3702062,용강동
20200630,3702063,황성동
20200630,3702064,동천동
20200630,3702066,불국동
20200630,3702067,보덕동
20200630,3702068,황오동
20200630,3702069,황남동
20200630,3703011,아포읍
20200630,3703031,농소면
20200630,3703032,남면
20200630,3703033,개령면
20200630,3703034,감문면
20200630,3703035,어모면
20200630,3703036,봉산면
20200630,3703037,대항면
20200630,3703038,감천면
20200630,3703039,조마면
20200630,3703040,구성면
20200630,3703041,지례면
20200630,3703042,부항면
20200630,3703043,대덕면
20200630,3703044,증산면
20200630,3703055,양금동
20200630,3703056,대신동
20200630,3703058,대곡동
20200630,3703059,지좌동
20200630,3703060,자산동
20200630,3703061,평화남산동
20200630,3703062,율곡동
20200630,3704011,풍산읍
20200630,3704031,와룡면
20200630,3704032,북후면
20200630,3704033,서후면
20200630,3704034,풍천면
20200630,3704035,일직면
20200630,3704036,남후면
20200630,3704037,남선면
20200630,3704038,임하면
20200630,3704039,길안면
20200630,3704040,임동면
20200630,3704041,예안면
20200630,3704042,도산면
20200630,3704043,녹전면
20200630,3704051,중구동
20200630,3704052,명륜동
20200630,3704054,용상동
20200630,3704056,태화동
20200630,3704058,평화동
20200630,3704059,안기동
20200630,3704060,옥동
20200630,3704061,송하동
20200630,3704062,서구동
20200630,3704063,강남동
20200630,3705011,선산읍
20200630,3705012,고아읍
20200630,3705031,무을면
20200630,3705032,옥성면
20200630,3705033,도개면
20200630,3705034,해평면
20200630,3705035,산동면
20200630,3705036,장천면
20200630,3705051,송정동
20200630,3705052,원평1동
20200630,3705053,원평2동
20200630,3705055,도량동
20200630,3705056,지산동
20200630,3705057,선주원남동
20200630,3705059,형곡1동
20200630,3705060,형곡2동
20200630,3705061,신평1동
20200630,3705062,신평2동
20200630,3705063,비산동
20200630,3705064,공단1동
20200630,3705065,공단2동
20200630,3705066,광평동
20200630,3705067,상모사곡동
20200630,3705069,임오동
20200630,3705070,인동동
20200630,3705071,진미동
20200630,3705072,양포동
20200630,3706011,풍기읍
20200630,3706031,이산면
20200630,3706032,평은면
20200630,3706033,문수면
20200630,3706034,장수면
20200630,3706035,안정면
20200630,3706036,봉현면
20200630,3706037,순흥면
20200630,3706038,단산면
20200630,3706039,부석면
20200630,3706051,상망동
20200630,3706053,하망동
20200630,3706055,영주1동
20200630,3706058,영주2동
20200630,3706059,휴천1동
20200630,3706060,휴천2동
20200630,3706061,휴천3동
20200630,3706062,가흥1동
20200630,3706063,가흥2동
20200630,3707011,금호읍
20200630,3707031,청통면
20200630,3707032,신녕면
20200630,3707033,화산면
20200630,3707034,화북면
20200630,3707035,화남면
20200630,3707036,자양면
20200630,3707037,임고면
20200630,3707038,고경면
20200630,3707039,북안면
20200630,3707040,대창면
20200630,3707051,동부동
20200630,3707052,중앙동
20200630,3707053,서부동
20200630,3707054,완산동
20200630,3707055,남부동
20200630,3708011,함창읍
20200630,3708032,중동면
20200630,3708033,낙동면
20200630,3708034,청리면
20200630,3708035,공성면
20200630,3708036,외남면
20200630,3708037,내서면
20200630,3708038,모동면
20200630,3708039,모서면
20200630,3708040,화동면
20200630,3708041,화서면
20200630,3708042,화북면
20200630,3708043,외서면
20200630,3708044,은척면
20200630,3708045,공검면
20200630,3708046,이안면
20200630,3708047,화남면
20200630,3708048,사벌국면
20200630,3708052,남원동
20200630,3708053,북문동
20200630,3708054,계림동
20200630,3708055,동문동
20200630,3708056,동성동
20200630,3708057,신흥동
20200630,3709011,문경읍
20200630,3709012,가은읍
20200630,3709031,영순면
20200630,3709032,산양면
20200630,3709033,호계면
20200630,3709034,산북면
20200630,3709035,동로면
20200630,3709036,마성면
20200630,3709037,농암면
20200630,3709057,점촌1동
20200630,3709058,점촌2동
20200630,3709059,점촌3동
20200630,3709060,점촌4동
20200630,3709061,점촌5동
20200630,3710011,하양읍
20200630,3710012,진량읍
20200630,3710013,압량읍
20200630,3710031,와촌면
20200630,3710032,자인면
20200630,3710033,용성면
20200630,3710034,남산면
20200630,3710036,남천면
20200630,3710051,중앙동
