
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
115,1938-08-10,,울릉도,경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,221.14,223.700,1.600,10.000,1.300
130,2020-12-04,,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,안동기상대(136),36.9918,129.4128,48.98,50.180,1.750,10.000,1.300
130,1971-01-12,2020-12-04,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,대구(구 143),36.9918,129.4128,48.98,50.180,1.750,10.000,1.300
136,1983-01-01,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.760,1.800,10.000,1.300
136,1973-01-01,1978-05-01,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.400,1.500,10.000,0.600
137,2002-01-01,,상주,경상북도 상주시남산2길 322상주지역기상서비스센터  ,대구(구 143),36.4084,128.1574,96.58,97.980,1.800,10.000,1.400
138,1943-01-01,,포항,경상북도 포항시남구 송도로70 포항관측소 ,포항기상대(138),36.032,129.380,3.94,4.920,1.600,10.000,1.200
155,2010-07-22,,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,창원기상대(155),35.1702,128.5728,34.97,39.100,1.700,10.000,1.300
155,2004-12-16,2010-07-21,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1671,128.5751,36.8,37.900,1.700,10.000,0.500
155,1985-07-01,2004-12-15,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1903,128.5652,11.25,4.900,1.500,17.600,0.600
162,1968-01-01,,통영,경상남도 통영시망일1길 67통영지역기상서비스센터  ,부산지방기상청(159),34.8454,128.4356,31.24,33.200,1.500,18.000,1.300
192,2005-11-23,,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,창원기상대(155),35.1638,128.040,29.35,31.600,1.800,10.000,1.300
192,1969-03-01,2005-11-23,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,,35.2084,128.1191,21.32,22.640,1.500,10.000,0.600
253,2008-02-13,,김해시,경상남도 김해시부원동 121번지  ,부산지방기상청(159),35.2298,128.8908,54.59,54.600,1.700,10.000,0.500
255,2010-07-22,,북창원,경상남도 창원시성산구 외동반림로93 외동배수지 ,창원기상대(155),35.2266,128.6726,50.95,50.300,1.800,10.000,0.700
255,2008-12-26,2010-07-21,창원시,경상남도 창원시성산구 외동반림로93 외동배수지 ,,35.2264,128.6725,46.77,48.120,1.800,10.000,0.600
257,2008-12-26,,양산시,경상남도 양산시동면 강변로54 수질정화공원 ,울산기상대(152),35.3074,129.0201,6.29,16.100,1.800,10.000,0.600
