date,sd,sgg,umd,1day,1day_yn,2day,2day_yn
2020-06-10,경상남도,사천시,곤명면,2020-06-11,2.3566271067920752e-07,2020-06-12,1.0
2020-06-11,경상남도,사천시,곤명면,2020-06-12,5.3721001897951445e-19,2020-06-13,1.0
2020-06-12,경상남도,사천시,곤명면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,사천시,곤양면,2020-06-11,5.5180573462534685e-17,2020-06-12,0.005489647388458252
2020-06-11,경상남도,사천시,곤양면,2020-06-12,6.924027352106153e-30,2020-06-13,8.331938020159819e-19
2020-06-12,경상남도,사천시,곤양면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,산청군,단성면,2020-06-11,0.0,2020-06-12,1.0
2020-06-11,경상남도,산청군,단성면,2020-06-12,0.0,2020-06-13,1.0
2020-06-12,경상남도,산청군,단성면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,산청군,오부면,2020-06-11,0.0,2020-06-12,1.0
2020-06-11,경상남도,산청군,오부면,2020-06-12,0.0,2020-06-13,1.0
2020-06-12,경상남도,산청군,오부면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,하동군,악양면,2020-06-11,0.0,2020-06-12,1.0
2020-06-11,경상남도,하동군,악양면,2020-06-12,0.0,2020-06-13,1.0
2020-06-12,경상남도,하동군,악양면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,하동군,옥종면,2020-06-11,1.0902738102685136e-24,2020-06-12,1.0
2020-06-11,경상남도,하동군,옥종면,2020-06-12,3.319674586220109e-16,2020-06-13,1.0
2020-06-12,경상남도,하동군,옥종면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,하동군,횡천면,2020-06-11,0.0,2020-06-12,1.0
2020-06-11,경상남도,하동군,횡천면,2020-06-12,0.0,2020-06-13,1.0
2020-06-12,경상남도,하동군,횡천면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,함양군,병곡면,2020-06-11,0.0,2020-06-12,3.4101675205466114e-14
2020-06-11,경상남도,함양군,병곡면,2020-06-12,0.0,2020-06-13,2.878405014339336e-10
2020-06-12,경상남도,함양군,병곡면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,함양군,안의면,2020-06-11,0.0,2020-06-12,1.0
2020-06-11,경상남도,함양군,안의면,2020-06-12,0.0,2020-06-13,1.0
2020-06-12,경상남도,함양군,안의면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,함양군,함양읍,2020-06-11,0.0,2020-06-12,1.0
2020-06-11,경상남도,함양군,함양읍,2020-06-12,0.0,2020-06-13,1.0
2020-06-12,경상남도,함양군,함양읍,2020-06-13,0.0,2020-06-14,0.0
2020-07-10,경상남도,거제시,삼거동,2020-07-11,0.9899704456329346,2020-07-12,0.0
2020-07-11,경상남도,거제시,삼거동,2020-07-12,9.79652181598567e-09,2020-07-13,1.0
2020-07-12,경상남도,거제시,삼거동,2020-07-13,4.6655543719501125e-23,2020-07-14,0.0
2020-07-13,경상남도,거제시,삼거동,2020-07-14,2.275234342564384e-14,2020-07-15,0.0
2020-07-10,경상남도,거제시,장목면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거제시,장목면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거제시,장목면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거제시,장목면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,가북면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,가북면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,가북면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,가북면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,가조면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,가조면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,가조면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,가조면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,거창읍,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,거창읍,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,거창읍,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,거창읍,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,고제면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,고제면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,고제면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,고제면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,남상면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,남상면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,남상면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,남상면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,남하면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,남하면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,남하면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,남하면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,마리면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,마리면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,마리면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,마리면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,북상면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,북상면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,북상면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,북상면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,신원면,2020-07-11,0.0,2020-07-12,2.92704801650758e-36
2020-07-11,경상남도,거창군,신원면,2020-07-12,4.379263863279261e-27,2020-07-13,1.0
2020-07-12,경상남도,거창군,신원면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,신원면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,웅양면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,웅양면,2020-07-12,0.0,2020-07-13,8.261360902345263e-19
