date,sd,sgg,umd,1day,1day_yn,2day,2day_yn
2020-06-10,경상남도,사천시,곤명면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,사천시,곤명면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,사천시,곤명면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,사천시,곤양면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,사천시,곤양면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,사천시,곤양면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,산청군,단성면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,산청군,단성면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,산청군,단성면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,산청군,오부면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,산청군,오부면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,산청군,오부면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,하동군,악양면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,하동군,악양면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,하동군,악양면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,하동군,옥종면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,하동군,옥종면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,하동군,옥종면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,하동군,횡천면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,하동군,횡천면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,하동군,횡천면,2020-06-13,0.0,2020-06-14,1.0
2020-06-10,경상남도,함양군,병곡면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,함양군,병곡면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,함양군,병곡면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,함양군,안의면,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,함양군,안의면,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,함양군,안의면,2020-06-13,0.0,2020-06-14,0.0
2020-06-10,경상남도,함양군,함양읍,2020-06-11,0.0,2020-06-12,0.0
2020-06-11,경상남도,함양군,함양읍,2020-06-12,0.0,2020-06-13,0.0
2020-06-12,경상남도,함양군,함양읍,2020-06-13,0.0,2020-06-14,0.0
2020-07-10,경상남도,거제시,삼거동,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거제시,삼거동,2020-07-12,0.0,2020-07-13,0.0
2020-07-12,경상남도,거제시,삼거동,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거제시,삼거동,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거제시,장목면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거제시,장목면,2020-07-12,0.0,2020-07-13,0.0
2020-07-12,경상남도,거제시,장목면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거제시,장목면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,가북면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,가북면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,가북면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,가북면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,가조면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,가조면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,가조면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,가조면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,거창읍,2020-07-11,0.0,2020-07-12,0.0
